event_id,signal_id,symbol,timestamp,event_type,state,details,candidate_hash,setup_id
EVT-0001,SIG-INIT-001,NIFTY500,2026-09-01T09:15:00Z,SYSTEM_INITIALIZE,PROSPECTIVE_MONITORING_ACTIVE,Prospective validation engine initialized for DemandConf-B,1378ece5ef6837748b9f1dc63a900f79b04fe76afc015e95032088a7c8953852,
PROSP-EVT-00002,,HDFCBANK,2026-09-02T08:05:54.326469+00:00,REJECTION_CONFIRMED,INVALID_PRE_CLOSE,[QUARANTINED] Premature smoke test evaluation before market close,1378ece5ef6837748b9f1dc63a900f79b04fe76afc015e95032088a7c8953852,HDFCBANK_DEMAND_2026-09-02
PROSP-EVT-00003,,ITC,2026-09-02T08:05:54.326469+00:00,REJECTION_CONFIRMED,INVALID_PRE_CLOSE,[QUARANTINED] Premature smoke test evaluation before market close,1378ece5ef6837748b9f1dc63a900f79b04fe76afc015e95032088a7c8953852,ITC_DEMAND_2026-09-02
PROSP-EVT-00004,,TATASTEEL,2026-09-02T08:05:54.326469+00:00,REJECTION_CONFIRMED,INVALID_PRE_CLOSE,[QUARANTINED] Premature smoke test evaluation before market close,1378ece5ef6837748b9f1dc63a900f79b04fe76afc015e95032088a7c8953852,TATASTEEL_DEMAND_2026-09-02
PROSP-EVT-00005,,TCS,2026-09-02T13:35:26.807379+00:00,REJECTION_CONFIRMED,ENTRY_PENDING,"Prox: 2342.0, Dist: 2243.9, Close: 2348.0",1378ece5ef6837748b9f1dc63a900f79b04fe76afc015e95032088a7c8953852,TCS_DEMAND_2026-09-02
PROSP-EVT-00006,,INFY,2026-09-02T13:35:26.807379+00:00,REJECTION_CONFIRMED,ENTRY_PENDING,"Prox: 1138.6, Dist: 1111.1, Close: 1140.0",1378ece5ef6837748b9f1dc63a900f79b04fe76afc015e95032088a7c8953852,INFY_DEMAND_2026-09-02
PROSP-EVT-00007,,ITC,2026-09-02T13:35:26.807379+00:00,REJECTION_CONFIRMED,ENTRY_PENDING,"Prox: 266.0, Dist: 255.5, Close: 266.3",1378ece5ef6837748b9f1dc63a900f79b04fe76afc015e95032088a7c8953852,ITC_DEMAND_2026-09-02
PROSP-EVT-00008,,KOTAKBANK,2026-09-02T13:35:26.807379+00:00,REJECTION_CONFIRMED,ENTRY_PENDING,"Prox: 421.0, Dist: 419.4, Close: 423.5",1378ece5ef6837748b9f1dc63a900f79b04fe76afc015e95032088a7c8953852,KOTAKBANK_DEMAND_2026-09-02
PROSP-EVT-00009,,TATASTEEL,2026-09-02T13:35:26.807379+00:00,REJECTION_CONFIRMED,ENTRY_PENDING,"Prox: 184.4, Dist: 182.0, Close: 183.85",1378ece5ef6837748b9f1dc63a900f79b04fe76afc015e95032088a7c8953852,TATASTEEL_DEMAND_2026-09-02
PROSP-EVT-00010,,BHARTIARTL,2026-09-03T10:30:05.039798+00:00,REJECTION_CONFIRMED,ENTRY_PENDING,"Prox: 1882.4, Dist: 1867.6, Close: 1869.0",1378ece5ef6837748b9f1dc63a900f79b04fe76afc015e95032088a7c8953852,BHARTIARTL_DEMAND_2026-09-03
PROSP-EVT-00011,,TITAN,2026-09-05T10:30:08.948266+00:00,REJECTION_CONFIRMED,ENTRY_PENDING,"Prox: 5104.0, Dist: 5010.5, Close: 5020.0",1378ece5ef6837748b9f1dc63a900f79b04fe76afc015e95032088a7c8953852,TITAN_DEMAND_2026-09-04
PROSP-EVT-00012,,TATASTEEL,2026-09-05T10:30:08.948266+00:00,REJECTION_CONFIRMED,ENTRY_PENDING,"Prox: 184.07, Dist: 181.4, Close: 188.79",1378ece5ef6837748b9f1dc63a900f79b04fe76afc015e95032088a7c8953852,TATASTEEL_DEMAND_2026-09-04
PROSP-EVT-00013,,TITAN,2026-09-06T10:30:11.527764+00:00,REJECTION_CONFIRMED,ENTRY_PENDING,"Prox: 5104.0, Dist: 5010.5, Close: 5020.0",1378ece5ef6837748b9f1dc63a900f79b04fe76afc015e95032088a7c8953852,TITAN_DEMAND_2026-09-04
PROSP-EVT-00014,,TATASTEEL,2026-09-06T10:30:11.527764+00:00,REJECTION_CONFIRMED,ENTRY_PENDING,"Prox: 184.07, Dist: 181.4, Close: 188.79",1378ece5ef6837748b9f1dc63a900f79b04fe76afc015e95032088a7c8953852,TATASTEEL_DEMAND_2026-09-04
PROSP-EVT-00015,,ASIANPAINT,2026-09-10T10:30:11.576371+00:00,REJECTION_CONFIRMED,ENTRY_PENDING,"Prox: 2499.0, Dist: 2474.1, Close: 2498.1",1378ece5ef6837748b9f1dc63a900f79b04fe76afc015e95032088a7c8953852,ASIANPAINT_DEMAND_2026-09-10
PROSP-EVT-00016,,TITAN,2026-09-10T10:30:11.576371+00:00,REJECTION_CONFIRMED,ENTRY_PENDING,"Prox: 5104.0, Dist: 5010.5, Close: 5021.0",1378ece5ef6837748b9f1dc63a900f79b04fe76afc015e95032088a7c8953852,TITAN_DEMAND_2026-09-10
PROSP-EVT-00017,,BAJFINANCE,2026-09-10T10:30:11.576371+00:00,REJECTION_CONFIRMED,ENTRY_PENDING,"Prox: 1057.1, Dist: 1034.8, Close: 1043.5",1378ece5ef6837748b9f1dc63a900f79b04fe76afc015e95032088a7c8953852,BAJFINANCE_DEMAND_2026-09-10
