symbol,trades,win_rate,avg_r,profit_factor
RELIANCE,182,39.6,0.19,1.31
TCS,181,35.4,0.06,1.09
HDFCBANK,177,37.3,0.12,1.19
INFY,178,35.4,0.06,1.1
ICICIBANK,178,36.5,0.1,1.15
SBIN,175,36.6,0.1,1.15
BHARTIARTL,179,34.6,0.04,1.06
ITC,178,32.6,-0.02,0.97
KOTAKBANK,184,34.2,0.03,1.04
LT,184,36.4,0.09,1.15
AXISBANK,179,34.1,0.02,1.03
ASIANPAINT,177,30.5,-0.08,0.88
MARUTI,172,32.6,-0.02,0.97
SUNPHARMA,174,33.9,0.02,1.03
TITAN,182,29.7,-0.11,0.84
BAJFINANCE,180,27.8,-0.17,0.77
ULTRACEMCO,178,37.6,0.13,1.21
NTPC,177,35.6,0.07,1.11
ONGC,180,34.4,0.03,1.05
WIPRO,177,35.6,0.07,1.11
HCLTECH,185,28.6,-0.14,0.8
POWERGRID,181,25.4,-0.24,0.68
COALINDIA,177,30.5,-0.08,0.88
TATASTEEL,180,33.3,0.0,1.0
TMPV,184,27.2,-0.18,0.75
BERGEPAINT,177,31.1,-0.07,0.9
EMAMILTD,185,34.6,0.04,1.06
TITAGARH,175,37.1,0.11,1.18
MAZDOCK,176,34.7,0.04,1.06
BIKAJI,152,32.2,-0.03,0.95
