model,symbol,date,split,regime,direction,confluence,is_atz,gtf_7,gtf_13,conviction,pnl_r,is_win
MODEL_A,RELIANCE,2022-06-16,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,10.5,60,-1.0,False
MODEL_B,RELIANCE,2022-06-16,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,10.5,60,-1.0,False
MODEL_C,RELIANCE,2022-06-16,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,10.5,60,-1.0,False
MODEL_D,RELIANCE,2022-06-16,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,10.5,60,-1.0,False
MODEL_E,RELIANCE,2022-06-16,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,10.5,60,-1.0,False
MODEL_A,RELIANCE,2022-06-23,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,64,-1.0,False
MODEL_B,RELIANCE,2022-06-23,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,64,-1.0,False
MODEL_C,RELIANCE,2022-06-23,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,64,-1.0,False
MODEL_D,RELIANCE,2022-06-23,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,64,-1.0,False
MODEL_E,RELIANCE,2022-06-23,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,64,-1.0,False
MODEL_A,RELIANCE,2022-06-30,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,64,-1.0,False
MODEL_B,RELIANCE,2022-06-30,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,64,2.0,True
MODEL_C,RELIANCE,2022-06-30,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,64,2.0,True
MODEL_D,RELIANCE,2022-06-30,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,64,2.0,True
MODEL_E,RELIANCE,2022-06-30,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,64,2.0,True
MODEL_A,RELIANCE,2022-07-08,TRAIN,BEAR,DEMAND,1,False,7.0,9.0,60,-1.0,False
MODEL_B,RELIANCE,2022-07-08,TRAIN,BEAR,DEMAND,1,False,7.0,9.0,60,2.0,True
MODEL_C,RELIANCE,2022-07-08,TRAIN,BEAR,DEMAND,1,False,7.0,9.0,60,2.0,True
MODEL_D,RELIANCE,2022-07-08,TRAIN,BEAR,DEMAND,1,False,7.0,9.0,60,2.0,True
MODEL_E,RELIANCE,2022-07-08,TRAIN,BEAR,DEMAND,1,False,7.0,9.0,60,2.0,True
MODEL_A,RELIANCE,2022-07-15,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_B,RELIANCE,2022-07-15,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,2.0,True
MODEL_C,RELIANCE,2022-07-15,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_D,RELIANCE,2022-07-15,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_E,RELIANCE,2022-07-15,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_A,RELIANCE,2022-07-22,TRAIN,BEAR,DEMAND,2,False,7.0,8.5,82,2.0,True
MODEL_B,RELIANCE,2022-07-22,TRAIN,BEAR,DEMAND,2,False,7.0,8.5,82,2.0,True
MODEL_D,RELIANCE,2022-07-22,TRAIN,BEAR,DEMAND,2,False,7.0,8.5,82,2.0,True
MODEL_A,RELIANCE,2022-07-29,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_B,RELIANCE,2022-07-29,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_C,RELIANCE,2022-07-29,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_D,RELIANCE,2022-07-29,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_E,RELIANCE,2022-07-29,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_A,RELIANCE,2022-08-05,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,60,-1.0,False
MODEL_B,RELIANCE,2022-08-05,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,60,-1.0,False
MODEL_A,RELIANCE,2022-08-16,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,64,-1.0,False
MODEL_B,RELIANCE,2022-08-16,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,64,-1.0,False
MODEL_C,RELIANCE,2022-08-16,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,64,-1.0,False
MODEL_A,RELIANCE,2022-08-23,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,64,2.0,True
MODEL_B,RELIANCE,2022-08-23,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,64,2.0,True
MODEL_C,RELIANCE,2022-08-23,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,64,2.0,True
MODEL_D,RELIANCE,2022-08-23,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,64,-1.0,False
MODEL_E,RELIANCE,2022-08-23,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,64,-1.0,False
MODEL_A,RELIANCE,2022-08-30,TRAIN,SIDEWAYS,DEMAND,2,False,7.0,10.0,86,-1.0,False
MODEL_B,RELIANCE,2022-08-30,TRAIN,SIDEWAYS,DEMAND,2,False,7.0,10.0,86,-1.0,False
MODEL_C,RELIANCE,2022-08-30,TRAIN,SIDEWAYS,DEMAND,2,False,7.0,10.0,86,-1.0,False
MODEL_A,RELIANCE,2022-09-07,TRAIN,SIDEWAYS,DEMAND,2,False,7.0,10.0,86,-1.0,False
MODEL_B,RELIANCE,2022-09-07,TRAIN,SIDEWAYS,DEMAND,2,False,7.0,10.0,86,-1.0,False
MODEL_D,RELIANCE,2022-09-07,TRAIN,SIDEWAYS,DEMAND,2,False,7.0,10.0,86,2.0,True
MODEL_E,RELIANCE,2022-09-07,TRAIN,SIDEWAYS,DEMAND,2,False,7.0,10.0,86,2.0,True
MODEL_A,RELIANCE,2022-09-14,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,9.0,64,-1.0,False
MODEL_B,RELIANCE,2022-09-14,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,9.0,64,-1.0,False
MODEL_D,RELIANCE,2022-09-14,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,9.0,64,2.0,True
MODEL_E,RELIANCE,2022-09-14,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,9.0,64,2.0,True
MODEL_A,RELIANCE,2022-09-21,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,8.5,82,-1.0,False
MODEL_B,RELIANCE,2022-09-21,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,8.5,82,-1.0,False
MODEL_A,RELIANCE,2022-09-28,TRAIN,BEAR,DEMAND,2,False,7.0,11.5,82,-1.0,False
MODEL_B,RELIANCE,2022-09-28,TRAIN,BEAR,DEMAND,2,False,7.0,11.5,82,2.0,True
MODEL_D,RELIANCE,2022-09-28,TRAIN,BEAR,DEMAND,2,False,7.0,11.5,82,2.0,True
MODEL_E,RELIANCE,2022-09-28,TRAIN,BEAR,DEMAND,2,False,7.0,11.5,82,2.0,True
MODEL_A,RELIANCE,2022-10-06,TRAIN,BEAR,DEMAND,1,False,7.0,7.5,60,2.0,True
MODEL_B,RELIANCE,2022-10-06,TRAIN,BEAR,DEMAND,1,False,7.0,7.5,60,2.0,True
MODEL_C,RELIANCE,2022-10-06,TRAIN,BEAR,DEMAND,1,False,7.0,7.5,60,2.0,True
MODEL_D,RELIANCE,2022-10-06,TRAIN,BEAR,DEMAND,1,False,7.0,7.5,60,2.0,True
MODEL_E,RELIANCE,2022-10-06,TRAIN,BEAR,DEMAND,1,False,7.0,7.5,60,2.0,True
MODEL_A,RELIANCE,2022-10-13,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_B,RELIANCE,2022-10-13,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_C,RELIANCE,2022-10-13,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_D,RELIANCE,2022-10-13,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_E,RELIANCE,2022-10-13,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_A,RELIANCE,2022-10-28,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_B,RELIANCE,2022-10-28,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_C,RELIANCE,2022-10-28,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_D,RELIANCE,2022-10-28,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_E,RELIANCE,2022-10-28,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_A,RELIANCE,2022-11-04,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,64,-1.0,False
MODEL_B,RELIANCE,2022-11-04,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,64,-1.0,False
MODEL_C,RELIANCE,2022-11-04,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,64,-1.0,False
MODEL_D,RELIANCE,2022-11-04,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,64,-1.0,False
